Date,Open,High,Low,Close,Volume
2017-01-03,37.896,37.938,37.385,37.6835,69365480
2017-01-04,37.9195,37.984,37.71,37.859,48464360
2017-01-05,38.0775,39.12,38.0128,39.0225,115366620
2017-01-06,39.118,39.972,38.924,39.7995,115860340
2017-01-09,39.9,40.0887,39.5885,39.846,67984860
2017-01-10,39.83,39.9,39.4772,39.795,49958480
2017-01-11,39.683,39.975,39.4755,39.951,57888000
2017-01-12,40.0155,40.7065,39.975,40.682,95762140
2017-01-13,40.716,41.0825,40.57,40.862,72214140
2017-01-17,40.785,40.8,40.172,40.486,71220120
2017-01-18,40.475,40.5865,40.2135,40.374,45052360
2017-01-19,40.5,40.6755,40.366,40.452,50005540
2017-01-20,40.764,40.801,40.313,40.4165,64512720
2017-01-23,40.34,40.925,40.254,40.894,52486940
2017-01-24,41.1,41.1995,40.725,41.122,58057420
2017-01-25,41.2895,41.8709,41.2644,41.826,75984940
2017-01-26,41.7765,42.192,41.65,41.9575,68857840
2017-01-27,41.95,41.985,41.472,41.7875,55343920
2017-01-30,41.65,41.675,40.819,41.519,72606780
2017-01-31,41.1875,41.3495,40.978,41.174,60648420
2017-02-01,41.4605,41.689,41.247,41.6175,74390600
2017-02-02,41.8295,42.1245,41.413,41.9975,111901520
2017-02-03,40.336,40.915,40.2,40.51,217375460
2017-02-06,40.49,40.536,40.15,40.382,73705800
2017-02-07,40.4655,40.808,40.375,40.625,67970340
2017-02-08,40.6345,41.074,40.625,40.9855,55596560
2017-02-09,41.08,41.25,40.9855,41.068,48471000
2017-02-10,41.191,41.4,41.1425,41.373,46385400
2017-02-13,41.581,42.15,41.4275,41.8265,80790320
2017-02-14,41.85,41.9155,41.5726,41.8195,49874020
2017-02-15,41.7,42.1405,41.641,42.135,57634600
2017-02-16,42.092,42.25,41.9688,42.214,51356780
2017-02-17,42.1,42.3635,42.0365,42.2535,57410920
2017-02-21,42.442,42.899,42.3625,42.822,67048280
2017-02-22,42.8475,42.9215,42.609,42.7805,50103460
2017-02-23,42.8785,43.043,42.4,42.6095,63090180
2017-02-24,42.2345,42.2905,41.8875,42.262,71837020
2017-02-27,42.119,42.625,41.9835,42.432,49752000
2017-02-28,42.5725,42.7045,42.1025,42.252,54200000
