Date,Open,High,Low,Close,Volume
2017-01-03,28.1217,28.4598,27.9433,28.1317,7385275.7077726
2017-01-04,28.1948,28.2913,27.8192,28.0548,9381864.1114337
2017-01-05,28.0262,28.3582,27.9149,28.2913,8811272.5829754
2017-01-06,28.2519,29.3735,28.0745,29.272,12842168.001723
2017-01-09,29.2257,29.2523,28.8462,28.9882,10697618.135099
2017-01-10,28.9142,28.9615,28.1317,28.5159,14455129.464081
2017-01-11,28.5653,28.6776,28.2913,28.6688,8295425.0405155
2017-01-12,29.0344,29.0344,28.3829,28.6117,8191796.5165613
2017-01-13,28.4775,28.6117,28.1317,28.5553,8137300.098584
2017-01-17,28.593,28.9319,28.3879,28.5553,7780304.9827737
2017-01-18,28.5553,28.7329,28.4146,28.6501,9289587.190025
2017-01-19,28.5259,29.0729,28.4598,28.9615,14126160.265818
2017-01-20,29.0729,29.1863,28.7714,28.8856,8616248.8450324
2017-01-23,28.8856,28.8954,28.3385,28.5356,9461770.7487667
2017-01-24,28.5653,28.593,27.9917,28.2716,17270528.805386
2017-01-25,28.5159,28.7516,28.3849,28.4775,19912473.265283
2017-01-26,30.5148,30.9662,29.7371,29.9214,33404642.267511
2017-01-27,30.1195,30.7424,29.5646,30.6469,17710280.634642
2017-01-30,30.3847,30.4301,29.9776,30.3265,10928134.401524
2017-01-31,30.0653,30.1649,29.7233,30.0062,9583135.8980427
2017-02-01,30.0753,30.3926,30.0062,30.3364,10069286.438813
2017-02-02,30.224,30.366,30.0406,30.1373,6012382.1731163
2017-02-03,30.2714,30.3561,30.084,30.234,5753057.7147828
2017-02-06,30.1748,30.3926,30.0406,30.1945,5031145.3064838
2017-02-07,30.1195,30.6094,29.9776,30.573,8453108.6214256
2017-02-08,30.5907,31.4964,30.4301,31.3457,16552060.027677
2017-02-09,31.3821,31.4402,31.0913,31.2234,9191262.1006889
2017-02-10,31.2136,31.9014,31.1673,31.7053,13743340.964452
2017-02-13,31.6956,32.1322,31.6373,31.8533,10233847.134672
2017-02-14,31.6856,32.0158,31.6472,31.7053,7685687.3260172
